web_path,es_fichero_estimation,angle_predicted,angle_predicted_proba,text_ocr,etiqueta_calidad_texto
"https://archivo.archivosdelarepresion.org/Ficheros/Zona_Militar_27,_fichas/Zona_Militar_27,_fichas-99-.JPG",1,90,1.0,"-—| puesto a disposición del.Estado.ayor de esta. —
' Zona, ésta giro órdenes para..que una. patrulla-
— | saliera hacia la Ranchería de Cucuyachi, fipio.
—— de Atoyac, en donce fue localizado un campament
—-- en el que se encontraban varios individuos en-
| cabezados por SALOFON RIOS GARCIA (a) Ramón; --
— | MARTHA SILVIANO y ESTEBAN, los cuales huyeron -f —
— dejando abandonado un F.A.L.; 3 Rifles M-1 y - —
- una escopeta. Al parecer por ragtros encontrado
- DOS individuos del grupo en cuestión, van heri-!
—— dos. — Exp-100=-10-1-74.- —
E. | H-195.  L-49 |
¡49- ic-74.-La situación en la sierra deAtoyac del
-—— lvarez comienza a normali-rse porla proximidad.
— del corte de c:fé,al que acuden trabajadores, --- —
¡principalmente de la ontaña de Tlapa.-El Cmdte.-!
— de la 27/ae“.M. ,ha dispuesto que los que ocupen-|
——Ú——í—]———.———————————_————————]—]————————————[——————————__——
",buena_calidad
"https://archivo.archivosdelarepresion.org/Ficheros/Zona_Militar_27,_fichas/Zona_Militar_27,_fichas-97-.JPG",1,90,1.0,"— pulco Zihuatanejo,miembros del Ejto.detienen.—--
| momentáne mente a los distintos. vehiculos que --
— | por ahí transitan,con el objeto de detactar a -- —
— elementos suversivos.-E1 día 3 attual.al efec---——
¡ tuarse dicha maniobra en el Autobús No.61 de la! _.
| Flecha oja que se dirigía a Zihuatanaejo,Jesús '
—] Gpomez Uchoa. (a) El Gorri n,cuien servía de con-- ——
.—... tacto a los militares, solicitó a EMILIO ROMERO |
| BENITEZ, quien guardaba una actitud sospechosa y
estaba armado,que se identiiicara,por lo que ést——
——— desenfundó su pistola y disparo sobre Gómez Ocho —
¡ matándolo de inmediato.,-Debido a ello se suscitó
; una balacera,en la que se resuliaron heridos el:
— | Soldado JOSE GUADALUPE RAMIREZ CISNEROS y los -- —
-—— viajeros JOSE FRANCO CARBAJAL y Marcela Pineda —
! | Pacheco,esta última falleció posteriormente.----
— |] RAMIREZ CISNEROS fresenta una herida en el tórax!
",buena_calidad
"https://archivo.archivosdelarepresion.org/Ficheros/Zona_Militar_27,_fichas/Zona_Militar_27,_fichas-92-.JPG",1,0,1.0,"— * ZONA MILITAR 27/a. Exp.100-10-16=-4-7:

' Acapulco, Gro. -43- H-150  L-9  —
—— RRIENTOS, así como grabaciones que denotan sus

“ planes.- Columnas volantes detuvieron a RODOLFO
— MOLINA MARTINEZ y a ANGEL CABAÑAS VARGAS, quie-—
—— mes han sido trasladados al Campo Militar No. 1
— . y quienes ya han confesado plenamente su partic!

| pación en los hechos delictivos del Partido de :
— los Pobres.—- o Expe80-85-74
— | — H=el4 L-lo.

— : 6-Jun=-74.-El S del actual, en Acapulco,Groe LINO
REYES, FROYLAN ABARCA ARCOS, INOCENTE ALMAZAN,
— ANDRES OLIVARES FUENTES, MAXIMINO GUZMAN VELAZ- _—_
— QUEZ, lideres campesinos de la Sierra Sur,que - _—
| dijeron representar a 80,000 trabajadores del - |
L | | N
",buena_calidad
"https://archivo.archivosdelarepresion.org/Ficheros/Zona_Militar_27,_fichas/Zona_Militar_27,_fichas-83-.JPG",1,-90,1.0,"| TORIBIO PERALTA. CRESCENCIO REYES. MARGARITO VALDE! .

: ELEAZAR ALVAREZ Y SANTIIN ALVAREZ._Los nativos—-::
— del luger afirman que en el grupo de referencig- ——

. noteron la posencia de 10 elemntos vestidos deci...

—víl los cusles iban con cemieetes únicemente y D.

— | pentelones de keki verde,con medias botas,lo que —
-— los hece suponer que pertenecían al Ejército, que. ——
; el helícoptero que utiliza el Cmáte.de le 27 ZHi,'

¡ con sede en Acapulco,sobrevoló por esa región e |
—— la hora señalacda.-En Atoyac de Alvarez al teners”r ——
—— conocimiento el día 25 de lo anteria,corrió la --——
versión que se trete de un grupo que se había --.

* dedicado a la siembra de amgpole.-----COYUCA DE :
— GENITEZ el día 25 actuel,se supo que elementos de——
——: del Ejto.con un grupo de Civiles ermados con lM-1-
; hicieron une investigación e los hebitentes de E
.Zepote Mpio,deCoyuca de Beníftez,debido a que —
",buena_calidad
"https://archivo.archivosdelarepresion.org/Ficheros/Zona_Militar_27,_fichas/Zona_Militar_27,_fichas-8-.JPG",1,0,1.0,"| ZONA MILITAR No. 27/a. — — Exp-100-10-1=96%, Y
Po a 2 59 17. |
le 7e-Oct.—-6.- Por informes obtenidos de la Zona ”
| Militar con sede en Acapulco, CGro.m se sabe que y
| ds soldados que participarún en los hechos de |
| sangre gcurridos en el poblado ""Les Vigas"" Mpio,
| de San  arcos6-Gro, ibam al mando del teniente |
| M.LIXNEO DEL VALLE y que las fuerzas Federales |
| fueron recibidas a balazos por elementos que - |
| despues se tuvo conocimiento eran miembros de la
| Policia Suburbana de ese lugar,- Expo 100-10-1- |
== | | E. 6 E 50 118, |
| 26 Dic.6l+.- El lo, de enero próximo quedará al- |
| frente de la 27a.Z.M, el Gral, EUSEBÍO GONZALEZ |
| AREDUNA en substitucíon del Gral. ALVARO GARCIA -
",buena_calidad
"https://archivo.archivosdelarepresion.org/Ficheros/Zona_Militar_27,_fichas/Zona_Militar_27,_fichas-64-.JPG",1,90,1.0,"| ZONA MILITAR Noe 27/8. Exp. 80-21-72. o
r En el.Edo.de Gro.- (30) 1H-35 Ll,
 22-ilar-72.,- Se hace notar que se efectuarán nuev :
— vas pláticas entre el Comdte.de esta Zona, Jefe —
— del Grupo de la Policia Judicial de Acanulcos, - —
| y elementos de esta D.,F.S., pera coordinar otras__
"" operaciones que se llevarán al cabo en distintos
— sectores de la región para tratar de dar con los ——
—— secuestradores de CUAUHTEMOC GARCIA TERAN.—-
| . Expe 80-21-7 20
— ue D - H-54 Lele
— 27-llar-827— 1 26 del actl, elementos del 50/00. —C-
'Betallón”de Inf. y de este Zona, en las primeras —__
-— horas de mañana efectuaran un restreo en varias e _
—pertes de la sierra, operando directamente sobre —
— ña renrchería ""Le neblina,.-- —
",buena_calidad
"https://archivo.archivosdelarepresion.org/Ficheros/Zona_Militar_27,_fichas/Zona_Militar_27,_fichas-63-.JPG",1,-90,1.0,"— o L——L—Llo——o——
— ftrado el estudiante CUAUHTENOC GARCIA TBRAN, pe
| Ya lo cual se han integrado 3 columnas volantes |
— integradas por elementos del 50/8a. Battallón de ——
— Inf. de la Policia Judicial del Edo. y de esta —
DeF.S.- Durante la medrugade del domingo 19 ele-| —
— | mentos de esta Zona del 27/0. Batallón procederá:
— 4 hacer une cateo en el poblado El Guamúchil, - —
— | donde según se sebe esta o estuvo oculto LUCIO -
| CABAÑAS BARRIENTOSe- Exv. 80-21-72. —
—, | | H-29  L=le
— 21=HMar-72.- * 20 del acil:. el Comdte.de este - —
— ' Zona, “al “tener conocimiento de las declaraciones!
de :LEONARDO CARBAJAL MURGAN, (a) El Burro, se - —
—|¡ comunicó con el Comdte.del 509% Batallón de Ifi= —
—- indicándole que permaneciera en el lugar donde -——
— ¡se encuentra? haste en tanto el detenido sirve - —
'de guía para llegar a la cueva mencionada.— |
",buena_calidad
"https://archivo.archivosdelarepresion.org/Ficheros/Zona_Militar_27,_fichas/Zona_Militar_27,_fichas-180-.JPG",1,0,1.0,"“ZÓNA- MILITAR 35/a.EN ACAPULCO"", 012-046-007 -
— GUERRERO, —— =2= 14 Oct.82 —
— Acapulco,gro.-A partir del lo.de Nov.próximo ,ast
- mirá el. cargo de Comandante de esta Zona,el Gral.
— de Brig.Paracaidista D.E.M.A. y Lic. JOSE MARIA
RIOS DE HOYOS,sustituyendo así al Gral.Brig,JOSE -
 ENCARNACION RAMIREZ LINARES, por ordenes superio-
res; por otra parte,se tiene conociniento que el
: Gral,RIOS DE HOYOS, proviene-de la Escuela Militar
en donde fungia como Director de la Escuela de —
- Educación Eisica,.-Pmme | o l
",buena_calidad
"https://archivo.archivosdelarepresion.org/Ficheros/Zona_Militar_27,_fichas/Zona_Militar_27,_fichas-156-.JPG",1,0,1.0,"E 012-046-007
E. 27 Nov.85 -
* Tecpan,Gro.-El Gral. JULIO CESAR SANTIAGO DIAZ ,Comandante —
+ del 49a.Bat.Inf.destacado en Atoyac,detuvo a los comandan-
- tes de la Policia Motorizada del Edo. SOSINO LOPEZ HERNAN +
— DEZ y SILVIO GUTIERREZ HERNANDEZ ,con sus elementos (20) L
—. de los grupos San Luis dela Loma y San Luis San Pedro de »
-— este Mpio. ¿agrego que dicha detensión se realizó por orde |
- nes del Gral.Div. JESUS GOMEZ RUIZ ,Jefe de esta Zona Mili.
tar ,encontrandose los detenidos a disposición del mismo” *
para investigación ¿por su parte el Comandante de la Pol.
- Jud.del Edo. de este Mpio.EDUARDO CALVILLO GARZA ,manifestó -
-— al respecto que al parecer dicha detensión se deve por
“Estar involucrados con el narcotrafico,ya que fueron deta |
. hnidas 4 personas sin conocer sus nombras (Narcotraficantes
“ quienes involucran a dichos comandantes . -Pmmc — |
",buena_calidad
"https://archivo.archivosdelarepresion.org/Ficheros/Zona_Militar_27,_fichas/Zona_Militar_27,_fichas-144-.JPG",1,0,1.0,"— teniente del Ejército insultandolos, ALEJANDRO o

= LOPEZ CAMACHO, le contesto que como Militar lo --.
— respetaba, pero en otro aspecto los dos eran hom .
| bres retirandose cada quien por su lado; Hoy a
“las 19.30 Hrs.se presentaron 20 soldados de esta.

— Zona,en la: Comandancia de la Pol.Jud.del Puerto,
“ exigiendo les entregaran a los 4. Agentes, por or-

— denes del Gral.JOSE HERNANDEZ TOLEDO, Jefe de la -
- Zona;Su Jefe Inmediato PEDRO VAZQUEZ ALARCON, en-'
— trego en dicha Zona a LOPEZ CAMACHO, dejandolo ai
disposición del mencionado Gral.,Ccosa que moles
toa los elementos policiacos. y el Gral.le orde  -
—' no entregara alos otros 3,pero al Llegar a la Cr
— mandancia VAZQUEZ ALARCON, se comunico porla via

— ¡telefonica con el Lic. HUGO PEREZ BAUTISTA, procu
",buena_calidad
